symbol,date,open,high,low,close,candle_name,strength_percentage
SHINE,2024-12-29,440.0,440.0,424.1,426.0,LONGLINE,70.0
SHINEP,2024-11-06,262.0,262.0,262.0,262.0,DOJISTAR,80.0
SHIVM,2024-12-29,570.0,570.0,554.0,555.0,CLOSINGMARUBOZU,75.0
SHL,2024-12-29,465.1,471.2,462.0,464.0,DOJISTAR,80.0
SHLB,2024-12-29,2660.0,2893.0,2660.0,2785.0,MORNINGSTAR,80.0
SHPC,2024-12-29,482.0,482.0,458.5,462.0,LONGLINE,70.0
SICL,2024-12-29,786.0,801.0,786.0,799.0,SHORTLINE,56.0
SIFC,2024-12-29,570.0,582.0,561.0,571.9,RICKSHAWMAN,62.0
SIFCPO,2024-05-09,228.0,228.0,228.0,228.0,DOJI,58.0
SIGS2,2024-12-29,9.37,9.55,9.37,9.42,INVERTEDHAMMER,68.0
SIGS3,2024-12-29,9.55,9.82,9.55,9.82,GAPSIDESIDEWHITE,70.0
SIKLES,2024-12-29,852.0,861.0,816.0,816.0,CLOSINGMARUBOZU,75.0
SINDU,2024-12-29,862.0,862.0,761.4,761.4,CLOSINGMARUBOZU,75.0
SINDUP,2024-03-13,188.0,188.0,188.0,188.0,DOJISTAR,80.0
SJCL,2024-12-29,350.0,351.0,342.0,343.0,SHORTLINE,56.0
SJLIC,2024-12-29,450.0,456.0,446.1,447.9,SHOOTINGSTAR,65.0
SKBBL,2024-12-29,929.0,938.9,927.0,936.0,,
SKBBLP,2024-09-05,100.0,100.0,100.0,100.0,DOJI,58.0
SLBBL,2024-12-29,875.4,925.1,875.4,910.0,BELTHOLD,66.0
SLBBLP,2024-02-22,410.0,410.0,410.0,410.0,DOJI,58.0
SLBSL,2024-12-29,1901.0,2074.8,1832.1,1987.0,,
SLCF,2024-12-29,9.51,9.63,9.35,9.63,HAMMER,68.0
SLK,2024-12-12,11.75,11.75,11.75,11.75,GAPSIDESIDEWHITE,70.0
SMATA,2024-12-29,805.0,863.0,805.0,839.0,BELTHOLD,66.0
SMATAP,2024-11-20,495.0,495.0,495.0,495.0,DOJI,58.0
SMB,2024-12-29,3906.2,3906.2,3587.4,3587.4,CLOSINGMARUBOZU,75.0
SMBPO,2024-12-01,652.0,652.0,652.0,750.0,CLOSINGMARUBOZU,75.0
SMFBS,2024-12-29,1916.0,2065.0,1901.0,2000.0,,
SMH,2024-12-29,985.2,1034.0,985.2,1016.0,,
SMHL,2024-12-29,1180.0,1223.0,1180.0,1200.1,SHOOTINGSTAR,65.0
SMJC,2024-12-29,531.0,531.0,512.0,512.0,SHORTLINE,56.0
SMPDA,2024-12-29,928.0,964.9,911.1,940.0,SPINNINGTOP,57.0
SNLI,2024-12-29,615.2,630.0,615.2,622.0,INVERTEDHAMMER,68.0
SONA,2024-12-29,465.0,465.0,450.1,454.0,SHORTLINE,56.0
SPC,2024-12-29,515.0,520.0,500.0,508.8,HANGINGMAN,70.0
SPDL,2024-12-29,335.0,335.0,320.3,322.9,SHORTLINE,56.0
SPHL,2024-12-29,809.1,810.0,760.1,810.0,HANGINGMAN,70.0
SPIL,2024-12-29,794.0,800.0,786.1,800.0,SHORTLINE,56.0
SPL,2024-12-29,1060.8,1060.8,985.0,1010.0,HIKKAKE,67.0
SRBLD83,2024-12-26,1150.0,1152.6,1150.0,1152.6,DOJI,58.0
SRLI,2024-12-29,420.1,424.0,420.0,421.3,INVERTEDHAMMER,68.0
SSHL,2024-12-29,231.5,232.9,225.0,225.0,SHORTLINE,56.0
SSIS,2024-11-27,11.03,11.03,11.03,11.03,DOJI,58.0
STC,2024-12-29,5713.0,5713.0,5610.1,5617.0,BELTHOLD,66.0
SWBBL,2024-12-29,890.0,892.0,873.0,889.8,DOJISTAR,80.0
SWBBLP,2024-08-06,782.0,782.0,782.0,782.0,DOJI,58.0
SWMF,2024-12-29,790.3,799.0,770.0,779.0,ENGULFING,78.0
TAMOR,2024-12-29,498.0,510.0,490.0,495.2,SPINNINGTOP,57.0
TPC,2024-12-29,544.0,549.0,528.0,532.0,,
TRADING,2024-12-29,4718.86,4790.21,4606.57,4669.82,,
TRH,2024-12-29,1079.9,1080.0,1064.0,1080.0,DOJISTAR,80.0
TSHL,2024-12-29,879.0,879.0,838.0,849.0,LONGLINE,70.0
TVCL,2024-12-29,563.0,564.0,546.0,554.0,SHORTLINE,56.0
UAIL,2024-12-29,628.0,633.0,623.3,632.5,HANGINGMAN,70.0
UHEWA,2024-12-29,680.0,713.0,678.0,699.9,BELTHOLD,66.0
ULBSL,2024-12-29,3965.0,4100.0,3730.0,4013.3,,
ULHC,2024-12-29,511.3,511.3,476.1,480.0,CLOSINGMARUBOZU,75.0
UMHL,2024-12-29,323.5,330.0,318.0,319.9,DOJISTAR,80.0
UMRH,2024-12-29,629.0,631.0,607.0,610.0,SHORTLINE,56.0
UNHPL,2024-12-29,284.0,284.0,275.0,278.9,DOJI,58.0
UNL,2024-12-29,46000.0,46000.0,45750.0,45750.0,CLOSINGMARUBOZU,75.0
UNLB,2024-12-29,2400.2,2652.0,2400.2,2530.0,BELTHOLD,66.0
UPCL,2024-12-29,272.0,274.7,266.0,267.0,DOJI,58.0
UPPER,2024-12-29,204.0,208.8,203.0,204.0,TAKURI,68.0
USHEC,2024-12-29,598.7,615.0,585.1,594.0,SHOOTINGSTAR,65.0
USHL,2024-12-29,750.5,790.0,750.5,785.0,SHORTLINE,56.0
USLB,2024-12-29,1550.0,1645.0,1519.1,1589.0,,
VLBS,2024-12-29,859.8,872.0,842.8,858.0,LONGLEGGEDDOJI,62.0
VLBSPO,2024-12-22,495.0,495.0,495.0,495.0,DOJI,58.0
VLUCL,2024-12-29,650.0,669.9,645.0,657.0,SHOOTINGSTAR,65.0
WNLB,2024-12-29,2648.8,2695.0,2500.0,2618.8,SPINNINGTOP,57.0
