symbol,date,open,high,low,close,candle_name,strength_percentage
GMFBS,2024-12-29,1790.0,1900.0,1786.1,1824.0,,
GMFIL,2024-12-29,565.1,567.0,541.3,546.0,CLOSINGMARUBOZU,75.0
GRDBL,2024-12-29,945.0,980.0,875.0,880.0,CLOSINGMARUBOZU,75.0
GRDBLP,2024-07-08,277.0,277.0,277.0,277.0,DOJISTAR,80.0
GUFL,2024-12-29,670.4,670.4,653.8,657.0,SHORTLINE,56.0
GUFLPO,2024-12-19,385.0,385.0,385.0,385.0,DOJI,58.0
GVL,2024-12-29,510.0,520.0,497.9,500.0,SHORTLINE,56.0
GWFD83,2024-12-29,1329.0,1330.0,1325.0,1325.0,DOJI,58.0
H8020,2024-12-29,10.0,10.03,10.0,10.01,INVERTEDHAMMER,68.0
HATHY,2024-12-29,1344.0,1370.0,1326.0,1355.0,SPINNINGTOP,57.0
HBL,2024-12-29,242.0,245.0,237.0,239.1,INVERTEDHAMMER,68.0
HBLD83,2024-11-27,1075.5,1075.5,1075.5,1075.5,DOJI,58.0
HBLPO,2024-08-12,125.0,125.0,125.0,125.0,TRISTAR,62.0
HDHPC,2024-12-29,199.0,200.0,196.0,196.4,SHORTLINE,56.0
HDL,2024-12-29,1367.0,1384.0,1365.0,1366.0,,
HEI,2024-12-29,615.0,620.0,610.0,619.5,CLOSINGMARUBOZU,75.0
HEIP,2024-12-29,466.5,466.5,440.0,457.0,BELTHOLD,66.0
HHL,2024-12-29,549.4,549.4,500.8,507.1,BELTHOLD,66.0
HIDCL,2024-12-29,238.0,240.0,233.3,234.9,SHORTLINE,56.0
HIDCLP,2024-12-29,170.8,170.8,165.5,169.5,TAKURI,68.0
HLBSL,2024-12-29,948.0,1003.0,948.0,960.0,BELTHOLD,66.0
HLI,2024-12-29,447.0,451.9,442.3,446.0,LONGLEGGEDDOJI,62.0
HOTELS,2024-12-29,6427.15,6461.32,6356.31,6387.9,,
HPPL,2024-12-29,396.0,403.0,388.0,388.1,SHORTLINE,56.0
