date,symbol,close,volume,pvvr
2024-01-01,ACLBSL,573.2,2209.0,
2024-01-02,ACLBSL,561.0,1375.0,
2024-01-03,ACLBSL,565.0,1046.0,
2024-01-04,ACLBSL,570.2,3281.0,
2024-01-07,ACLBSL,570.0,1028.0,
2024-01-08,ACLBSL,576.0,705.0,
2024-01-09,ACLBSL,582.0,2358.0,
2024-01-10,ACLBSL,595.3,4367.0,
2024-01-11,ACLBSL,594.0,1809.0,
2024-01-14,ACLBSL,601.0,2009.0,
2024-01-16,ACLBSL,619.0,4702.0,
2024-01-17,ACLBSL,613.0,6662.0,
2024-01-18,ACLBSL,620.0,8564.0,
2024-01-21,ACLBSL,613.5,2160.0,
2024-01-22,ACLBSL,617.0,6321.0,0.23380964275988778
2024-01-23,ACLBSL,606.0,982.0,0.2564214617062084
2024-01-24,ACLBSL,597.1,1506.0,0.2946359412474691
2024-01-25,ACLBSL,607.0,2157.0,0.354739110505017
2024-01-28,ACLBSL,630.0,2351.0,0.43169277541114276
2024-01-29,ACLBSL,620.0,1260.0,0.5003304300737736
2024-01-30,ACLBSL,614.9,706.0,0.6502834077977784
2024-01-31,ACLBSL,605.2,2167.0,0.7143293316951325
2024-02-01,ACLBSL,594.0,4064.0,0.7268494926307789
2024-02-04,ACLBSL,600.0,2516.0,0.7030417343308017
2024-02-05,ACLBSL,619.8,2753.0,0.73048675900894
2024-02-06,ACLBSL,620.0,1846.0,0.6990119828759063
2024-02-07,ACLBSL,625.1,4179.0,0.5115686071727613
2024-02-08,ACLBSL,627.0,1708.0,0.4730118400213173
2024-02-11,ACLBSL,625.7,1617.0,0.3520932627633181
2024-02-12,ACLBSL,626.0,3717.0,0.2966558672178957
2024-02-13,ACLBSL,610.0,2681.0,0.32479244716395844
2024-02-14,ACLBSL,621.0,2017.0,0.33777278209169637
2024-02-15,ACLBSL,626.5,1778.0,0.30556303011653463
2024-02-18,ACLBSL,618.9,1718.0,0.28630378744282514
2024-02-20,ACLBSL,618.0,1293.0,0.2523479469732579
2024-02-21,ACLBSL,617.2,1633.0,0.251307591059999
2024-02-22,ACLBSL,616.5,3114.0,0.27812315721632597
2024-02-25,ACLBSL,607.0,1868.0,0.3623542236731218
2024-02-26,ACLBSL,605.0,1618.0,0.24635862378493448
2024-02-27,ACLBSL,605.0,512.0,0.25720801200949567
2024-02-28,ACLBSL,610.0,1230.0,0.23488739305707276
2024-02-29,ACLBSL,602.5,1019.0,0.26528731435334174
2024-03-03,ACLBSL,600.0,842.0,0.28248785327613596
2024-03-05,ACLBSL,608.0,2391.0,0.29399408554337897
2024-03-06,ACLBSL,609.5,1356.0,0.23276506882386874
2024-03-07,ACLBSL,612.0,443.0,0.24900059058834845
2024-03-10,ACLBSL,640.0,6603.0,0.46113021378249913
2024-03-12,ACLBSL,680.0,9573.0,0.40434423046302226
2024-03-13,ACLBSL,690.0,4900.0,0.2937781027366672
2024-03-14,ACLBSL,688.5,7938.0,0.24147752040184683
2024-03-17,ACLBSL,677.1,5640.0,0.23820761434077586
2024-03-18,ACLBSL,675.0,4208.0,0.2061842564028413
2024-03-19,ACLBSL,712.0,10681.0,0.23557487736366042
2024-03-20,ACLBSL,765.0,18807.0,0.2811014201228386
2024-03-21,ACLBSL,747.0,3915.0,0.26222129224370216
2024-03-25,ACLBSL,716.5,5710.0,0.27094138696225684
2024-03-26,ACLBSL,739.5,8187.0,0.26696129151777925
2024-03-27,ACLBSL,720.0,3266.0,0.2957591421535905
2024-03-28,ACLBSL,721.9,7137.0,0.2996219851783558
2024-03-31,ACLBSL,690.9,4250.0,0.3652014278731948
2024-04-01,ACLBSL,715.0,5198.0,0.44325736483440215
2024-04-02,ACLBSL,739.0,11154.0,0.42941285958649433
2024-04-03,ACLBSL,759.0,12646.0,0.40840657556839377
2024-04-04,ACLBSL,784.0,14758.0,0.4053285594003683
2024-04-07,ACLBSL,781.0,8197.0,0.3827372049536091
2024-04-09,ACLBSL,787.0,3912.0,0.41260506002834635
2024-04-10,ACLBSL,763.0,3204.0,0.4465112519841454
2024-04-14,ACLBSL,785.0,15436.0,0.34986973583343806
2024-04-15,ACLBSL,770.0,5388.0,0.3280600387263218
2024-04-16,ACLBSL,762.0,4314.0,0.3213039605247248
2024-04-18,ACLBSL,745.1,6812.0,0.31895958669275265
2024-04-21,ACLBSL,768.9,2058.0,0.3493879076353825
2024-04-22,ACLBSL,756.7,1107.0,0.43876106363108763
2024-04-24,ACLBSL,756.0,2625.0,0.5544563000439251
2024-04-25,ACLBSL,755.0,2440.0,0.7035329482760562
2024-04-28,ACLBSL,774.0,4863.0,0.8159285578470485
2024-04-29,ACLBSL,767.2,6577.0,0.7691532198231991
