symbol,date,open,high,low,close,Candles_Present,Max_Candle_Strength
INVESTMENT,2024-12-29,99.0,99.63,98.38,98.75,"DOJI,HAMMER,INVERTEDHAMMER,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP",0.33
JBBL,2024-12-29,361.1,366.9,356.0,359.9,"DOJI,DOJISTAR,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP",1.0
JBBLPO,2024-12-03,204.0,204.0,204.0,204.0,"DOJI,SHORTLINE",0.5
JBLB,2024-12-29,1525.0,1575.0,1525.0,1571.0,"BELTHOLD,LONGLINE",0.5
JFLPO,2024-09-10,349.0,349.0,349.0,349.0,"DOJI,DOJISTAR,SHORTLINE",0.33
JSLBB,2024-12-29,1610.1,1730.0,1609.0,1661.9,BELTHOLD,1.0
JSLBBP,2024-04-02,546.0,546.0,546.0,546.0,"DOJI,SHORTLINE",0.5
KBLD86,2024-12-24,1136.1,1136.1,1136.1,1136.1,"DOJI,SHORTLINE",0.5
KBLD90,2024-12-24,1141.0,1141.0,1141.0,1141.0,"DOJI,SHORTLINE",0.5
KBLPO,2024-12-19,100.0,100.0,100.0,100.0,"DOJI,SHORTLINE,TRISTAR",1.0
KDBY,2024-12-29,9.05,9.55,9.05,9.55,"DOJI,DOJISTAR,SHORTLINE",0.33
KEF,2024-12-29,8.76,8.98,8.76,8.85,"DOJI,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.25
KLBSL,2024-07-10,1051.5,1113.1,1051.5,1070.0,BELTHOLD,1.0
KMCDB,2024-12-29,1080.2,1130.0,1080.2,1107.0,BELTHOLD,1.0
KPCL,2024-12-29,524.9,530.0,521.0,524.9,"DOJI,HIGHWAVE,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP",0.17
KSBBL,2024-12-29,433.0,442.0,430.0,432.9,"DOJI,GRAVESTONEDOJI,HIGHWAVE,INVERTEDHAMMER,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP",0.5
KSBBLP,2024-12-22,186.0,186.0,186.0,186.0,"DOJI,SHORTLINE",0.5
KSLY,2024-11-26,11.73,11.73,11.73,11.73,"DOJI,SHORTLINE",0.5
KSY,2024-12-29,8.84,9.19,8.84,9.0,"DOJI,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.25
LBBLD89,2024-12-12,1255.0,1255.0,1255.0,1255.0,"DOJI,SHORTLINE",0.5
LBBLPO,2024-10-27,261.0,261.0,261.0,261.0,"DOJI,SHORTLINE",0.5
LBLD86,2024-12-23,1135.0,1135.0,1135.0,1135.0,"DOJI,SHORTLINE,TRISTAR",0.33
LEMF,2024-06-09,9.6,9.76,9.47,9.47,"DOJI,DOJISTAR,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.33
LICN,2024-12-29,1136.0,1160.0,1130.0,1145.0,"ABANDONEDBABY,MORNINGDOJISTAR,MORNINGSTAR",0.33
LLBS,2024-12-29,1090.1,1171.0,1090.0,1124.0,BELTHOLD,1.0
LSL,2024-12-29,239.2,244.8,238.0,239.0,"DOJI,GRAVESTONEDOJI,HIGHWAVE,INVERTEDHAMMER,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP",0.5
LUK,2024-12-29,9.31,9.49,9.31,9.41,"DOJI,SHORTLINE",0.5
LVF2,2024-12-29,9.0,9.06,9.0,9.06,"DOJI,GAPSIDESIDEWHITE,SHORTLINE",1.0
MBL,2024-12-29,238.3,245.0,236.0,238.1,"DOJI,GRAVESTONEDOJI,HIGHWAVE,INVERTEDHAMMER,LONGLEGGEDDOJI,RICKSHAWMAN,SHORTLINE,SPINNINGTOP",0.5
MBLD2085,2024-11-14,1111.8,1170.0,1111.8,1170.0,"BELTHOLD,CLOSINGMARUBOZU,LONGLINE,MARUBOZU",0.25
MBLPO,2024-05-21,113.0,113.0,113.0,113.0,"DOJI,SHORTLINE",0.5
MDBPO,2024-11-27,379.0,379.0,379.0,379.0,"DOJI,SHORTLINE",0.5
MEL,2024-12-29,310.7,316.0,307.2,315.8,SHORTLINE,1.0
MERO,2024-12-29,718.0,764.6,718.0,733.0,BELTHOLD,1.0
MFILPO,2024-06-23,267.6,267.6,267.6,267.6,"DOJI,DOJISTAR,SHORTLINE",0.33
MHNL,2024-12-29,260.0,267.0,258.8,260.0,"DOJI,DOJISTAR,GRAVESTONEDOJI,HIGHWAVE,INVERTEDHAMMER,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",0.12
MICROFINANCE,2024-12-29,4921.9,5033.01,4909.42,4977.97,"ABANDONEDBABY,MORNINGDOJISTAR,MORNINGSTAR",0.33
MKCL,2024-12-29,1480.0,1506.0,1480.0,1485.0,INVERTEDHAMMER,1.0
MKJC,2024-12-29,508.0,529.3,507.1,529.3,"BELTHOLD,CLOSINGMARUBOZU,LONGLINE,MARUBOZU",0.25
MLBBL,2024-12-29,1535.0,1610.0,1535.0,1584.9,BELTHOLD,1.0
MLBLPO,2024-09-16,155.0,155.0,155.0,155.0,"DOJI,SHORTLINE",0.5
MLBS,2024-12-29,2035.0,2172.0,2035.0,2160.0,BELTHOLD,1.0
MLBSL,2024-12-29,2221.0,2461.6,2221.0,2461.6,"BELTHOLD,CLOSINGMARUBOZU,LONGLINE,MARUBOZU",0.25
MMF1,2024-12-29,8.6,8.9,8.6,8.73,"DOJI,INVERTEDHAMMER,LONGLEGGEDDOJI,SHORTLINE",0.25
MMFDBP,2024-03-12,278.0,278.0,278.0,278.0,"DOJI,SHORTLINE",0.5
MMKJL,2024-12-29,683.0,695.0,672.2,679.0,"DOJI,LONGLEGGEDDOJI,RICKSHAWMAN,SPINNINGTOP",0.5
MNBBL,2024-12-29,371.0,378.4,371.0,375.0,"DOJI,SHORTLINE,TRISTAR",1.0
