symbol,date,open,high,low,close,Candles_Present,Signal,Bullish_Count,Bearish_Count,Signal_Strength
MLBSL,2024-12-29,2221.0,2461.6,2221.0,2461.6,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
MMF1,2024-12-29,8.6,8.9,8.6,8.73,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish,1,1,0
MMFDBP,2024-03-12,278.0,278.0,278.0,278.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
MNBBL,2024-12-29,371.0,378.4,371.0,375.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Bearish,0,1,-1
MNBBLP,2024-12-29,221.0,221.0,221.0,221.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
MPFLPO,2024-03-14,202.0,202.0,202.0,202.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
MSLB,2024-12-29,1490.0,1590.0,1490.0,1564.0,['CDLBELTHOLD'],Bullish,1,0,1
MUTUAL,2024-12-29,20.31,20.36,20.17,20.34,"['CDLDOJI', 'CDLHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE', 'CDLTAKURI']",Bullish,1,1,0
NABBC,2024-12-29,1133.4,1155.5,1040.9,1040.9,['CDLCLOSINGMARUBOZU'],Bullish,1,0,1
NABILD87,2024-12-29,1070.0,1070.0,1070.0,1070.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NABILP,2024-10-27,301.1,301.1,301.1,301.1,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Bearish,0,1,-1
NADDF,2024-12-17,10.41,10.41,10.41,10.41,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NBBD2085,2024-11-20,1195.0,1195.0,1195.0,1199.9,['CDLSHORTLINE'],Bearish,0,1,-1
NBF2,2024-12-29,9.69,9.69,9.5,9.68,"['CDLDOJI', 'CDLHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE', 'CDLTAKURI']",Bullish,1,1,0
NBF3,2024-12-29,9.5,9.65,9.0,9.4,"['CDLDOJI', 'CDLHAMMER', 'CDLHANGINGMAN', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLMATCHINGLOW', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP', 'CDLTAKURI']",Bullish,2,1,1
NBLD82,2024-11-24,1096.6,1174.0,1096.6,1172.0,"['CDLBELTHOLD', 'CDLLONGLINE']",Bullish,2,0,2
NBLD85,2024-12-29,1049.0,1050.0,1049.0,1050.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NBLD87,2024-12-29,1064.0,1064.0,1064.0,1064.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NCCD86,2024-12-29,1156.0,1156.0,1156.0,1156.0,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NFCF,2024-12-12,11.43,11.43,11.43,11.43,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NFSPO,2024-08-25,163.0,163.0,163.0,163.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Bearish,0,1,-1
NGPL,2024-12-29,262.0,263.0,256.1,256.1,['CDLSHORTLINE'],Bearish,0,1,-1
NHDL,2024-12-29,720.0,720.0,702.4,710.0,['CDLSHORTLINE'],Bearish,0,1,-1
NHPC,2024-12-29,218.0,219.0,213.8,214.0,['CDLSHORTLINE'],Bearish,0,1,-1
NIBD2082,2024-12-24,1144.0,1150.9,1144.0,1151.0,['CDLSHORTLINE'],Bearish,0,1,-1
NIBD84,2024-12-29,1033.0,1043.2,1033.0,1043.1,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Bullish,4,0,4
NIBLGF,2024-12-29,8.7,8.87,8.66,8.87,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NIBLPF,2024-01-08,9.47,9.48,9.32,9.32,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NIBLSF,2024-11-25,11.21,11.21,11.21,11.21,"['CDLDOJI', 'CDLSHORTLINE']",Bearish,0,1,-1
NIBSF2,2024-12-29,8.45,8.6,8.44,8.5,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Bullish,1,1,0
NICA,2024-12-29,400.0,404.7,391.0,391.0,['CDLCLOSINGMARUBOZU'],Bullish,1,0,1
