symbol,date,open,high,low,close,Candles_Present
DDBL,2024-12-29,880.0,888.4,873.2,873.2,"CDLSHOOTINGSTAR,CDLSHORTLINE"
DEVBANK,2024-12-29,5356.92,5359.43,5215.96,5223.76,"CDLBELTHOLD,CDLLONGLINE"
DHPL,2024-12-29,303.0,310.0,300.0,300.3,"CDLDOJI,CDLDOJISTAR,CDLGRAVESTONEDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
DLBS,2024-12-29,1670.0,1836.0,1670.0,1760.0,CDLBELTHOLD
DOLTI,2024-12-29,669.0,690.0,669.0,685.0,CDLSHORTLINE
DORDI,2024-12-29,530.1,540.0,514.0,514.0,CDLSHORTLINE
EBL,2024-12-29,585.0,589.9,580.0,583.0,"CDLDOJI,CDLHANGINGMAN,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP"
EBLD86,2024-12-29,1043.0,1043.0,1043.0,1043.0,"CDLDOJI,CDLSHORTLINE"
EDBL,2024-12-29,617.1,617.1,561.0,563.0,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
EHPL,2024-12-29,758.0,768.0,728.3,754.9,"CDLDOJI,CDLHIGHWAVE,CDLLONGLEGGEDDOJI,CDLSPINNINGTOP"
ENL,2024-12-29,1241.7,1275.0,1235.0,1257.0,
FINANCE,2024-12-29,3052.63,3052.63,2932.35,2935.78,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
FLOAT,2024-12-29,178.32,178.84,176.3,176.7,"CDLDOJI,CDLDOJISTAR,CDLSHORTLINE"
FMDBL,2024-12-29,748.2,765.0,748.0,760.0,CDLSHORTLINE
FMDBLP,2024-07-08,370.0,370.0,370.0,370.0,"CDLDOJI,CDLSHORTLINE"
FOWAD,2024-12-29,1253.5,1300.0,1250.0,1274.0,
GBBD85,2024-12-29,1051.1,1051.2,1050.0,1050.0,"CDLDOJI,CDLSHORTLINE"
GBBL,2024-12-29,402.0,404.9,395.1,396.5,CDLSHORTLINE
GBBLPO,2024-11-26,205.0,205.0,205.0,205.0,"CDLDOJI,CDLSHORTLINE"
GBD80/81,2024-04-09,1040.0,1040.0,1040.0,1040.0,"CDLDOJI,CDLSHORTLINE"
GBILD86/87,2024-12-29,1059.0,1059.0,1045.0,1045.0,CDLSHORTLINE
GBIME,2024-12-29,233.1,237.5,229.0,229.5,CDLINVERTEDHAMMER
GBIMEP,2024-12-12,100.0,100.0,100.0,100.0,"CDLDOJI,CDLSHORTLINE"
GBLBS,2024-12-29,760.0,795.0,760.0,766.1,CDLBELTHOLD
GCIL,2024-12-29,501.0,505.0,492.0,492.1,CDLCLOSINGMARUBOZU
GFCL,2024-12-29,800.9,825.0,775.1,777.1,
GHL,2024-12-29,203.2,207.2,203.2,204.0,"CDLDOJI,CDLDOJISTAR,CDLGRAVESTONEDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
GIBF1,2024-12-29,9.88,9.91,9.88,9.91,"CDLDOJI,CDLSHORTLINE"
GILB,2024-12-29,1169.0,1210.0,1165.0,1178.0,
GLBSL,2024-12-29,2549.0,2670.0,2455.0,2460.1,
GLH,2024-12-29,240.1,243.3,235.2,235.2,CDLSHORTLINE
GMFBS,2024-12-29,1790.0,1900.0,1786.1,1824.0,
