symbol,date,open,high,low,close,Candles_Present
GMFIL,2024-12-29,565.1,567.0,541.3,546.0,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
GRDBL,2024-12-29,945.0,980.0,875.0,880.0,CDLCLOSINGMARUBOZU
GRDBLP,2024-07-08,277.0,277.0,277.0,277.0,"CDLDOJI,CDLDOJISTAR,CDLSHORTLINE"
GUFL,2024-12-29,670.4,670.4,653.8,657.0,CDLSHORTLINE
GUFLPO,2024-12-19,385.0,385.0,385.0,385.0,"CDLDOJI,CDLSHORTLINE"
GVL,2024-12-29,510.0,520.0,497.9,500.0,CDLSHORTLINE
GWFD83,2024-12-29,1329.0,1330.0,1325.0,1325.0,"CDLDOJI,CDLSHORTLINE"
H8020,2024-12-29,10.0,10.03,10.0,10.01,"CDLDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
HATHY,2024-12-29,1344.0,1370.0,1326.0,1355.0,CDLSPINNINGTOP
HBL,2024-12-29,242.0,245.0,237.0,239.1,"CDLDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
HBLD83,2024-11-27,1075.5,1075.5,1075.5,1075.5,"CDLDOJI,CDLSHORTLINE"
HBLPO,2024-08-12,125.0,125.0,125.0,125.0,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
HDHPC,2024-12-29,199.0,200.0,196.0,196.4,CDLSHORTLINE
HDL,2024-12-29,1367.0,1384.0,1365.0,1366.0,
HEI,2024-12-29,615.0,620.0,610.0,619.5,CDLCLOSINGMARUBOZU
HEIP,2024-12-29,466.5,466.5,440.0,457.0,CDLBELTHOLD
HHL,2024-12-29,549.4,549.4,500.8,507.1,CDLBELTHOLD
HIDCL,2024-12-29,238.0,240.0,233.3,234.9,CDLSHORTLINE
HIDCLP,2024-12-29,170.8,170.8,165.5,169.5,"CDLDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE,CDLTAKURI"
HLBSL,2024-12-29,948.0,1003.0,948.0,960.0,CDLBELTHOLD
HLI,2024-12-29,447.0,451.9,442.3,446.0,"CDLDOJI,CDLHIGHWAVE,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP"
HOTELS,2024-12-29,6427.15,6461.32,6356.31,6387.9,
HPPL,2024-12-29,396.0,403.0,388.0,388.1,CDLSHORTLINE
HRL,2024-12-29,801.0,805.0,793.0,796.0,CDLSHORTLINE
HURJA,2024-12-29,226.5,230.9,224.0,224.4,"CDLDOJI,CDLGRAVESTONEDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
HYDROPOWER,2024-12-29,3490.88,3493.21,3420.18,3434.32,CDLBELTHOLD
ICFC,2024-12-29,651.7,670.9,651.7,652.1,"CDLDOJI,CDLDOJISTAR,CDLGRAVESTONEDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI"
ICFCD83,2024-12-29,1325.0,1325.0,1325.0,1325.0,"CDLDOJI,CDLSHORTLINE"
ICFCPO,2024-12-26,369.0,369.0,369.0,369.0,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
IGI,2024-12-29,572.0,582.0,570.0,571.1,"CDLDOJI,CDLGRAVESTONEDOJI,CDLLONGLEGGEDDOJI,CDLSHOOTINGSTAR,CDLSPINNINGTOP,CDLTRISTAR"
IGIPO,2024-12-22,310.0,310.0,310.0,310.0,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
IHL,2024-12-29,662.0,668.8,647.0,650.0,
ILBS,2024-12-29,959.9,1005.0,942.0,965.0,"CDLHIGHWAVE,CDLSPINNINGTOP"
ILI,2024-12-29,470.0,472.0,465.0,470.5,"CDLDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLHIGHWAVE,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP,CDLTAKURI"
INVESTMENT,2024-12-29,99.0,99.63,98.38,98.75,"CDLDOJI,CDLHAMMER,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP"
JALPA,2024-07-10,1465.0,1480.0,1430.0,1442.1,
JBBL,2024-12-29,361.1,366.9,356.0,359.9,"CDLDOJI,CDLDOJISTAR,CDLHIGHWAVE,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP"
JBBLPO,2024-12-03,204.0,204.0,204.0,204.0,"CDLDOJI,CDLSHORTLINE"
JBLB,2024-12-29,1525.0,1575.0,1525.0,1571.0,"CDLBELTHOLD,CDLLONGLINE"
JFL,2024-12-29,907.5,907.5,833.4,833.4,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
JFLPO,2024-09-10,349.0,349.0,349.0,349.0,"CDLDOJI,CDLDOJISTAR,CDLSHORTLINE"
JOSHI,2024-12-29,451.1,451.1,414.3,420.0,"CDLBELTHOLD,CDLLONGLINE"
JSLBB,2024-12-29,1610.1,1730.0,1609.0,1661.9,CDLBELTHOLD
JSLBBP,2024-04-02,546.0,546.0,546.0,546.0,"CDLDOJI,CDLSHORTLINE"
KBL,2024-12-29,224.0,225.4,218.7,219.3,CDLSHORTLINE
KBLD86,2024-12-24,1136.1,1136.1,1136.1,1136.1,"CDLDOJI,CDLSHORTLINE"
KBLD90,2024-12-24,1141.0,1141.0,1141.0,1141.0,"CDLDOJI,CDLSHORTLINE"
KBLPO,2024-12-19,100.0,100.0,100.0,100.0,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
KBSH,2024-12-29,2600.0,2600.0,2450.0,2537.0,CDLBELTHOLD
KDBY,2024-12-29,9.05,9.55,9.05,9.55,"CDLDOJI,CDLDOJISTAR,CDLSHORTLINE"
KDL,2024-12-29,1135.0,1148.0,1119.9,1119.9,
KEF,2024-12-29,8.76,8.98,8.76,8.85,"CDLDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
KKHC,2024-12-29,382.0,383.0,366.0,367.9,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
KLBSL,2024-07-10,1051.5,1113.1,1051.5,1070.0,CDLBELTHOLD
KMCDB,2024-12-29,1080.2,1130.0,1080.2,1107.0,CDLBELTHOLD
KPCL,2024-12-29,524.9,530.0,521.0,524.9,"CDLDOJI,CDLHIGHWAVE,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP"
KRBL,2024-12-24,792.0,834.0,780.0,810.0,
KSBBL,2024-12-29,433.0,442.0,430.0,432.9,"CDLDOJI,CDLGRAVESTONEDOJI,CDLHIGHWAVE,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP"
KSBBLP,2024-12-22,186.0,186.0,186.0,186.0,"CDLDOJI,CDLSHORTLINE"
KSLY,2024-11-26,11.73,11.73,11.73,11.73,"CDLDOJI,CDLSHORTLINE"
KSY,2024-12-29,8.84,9.19,8.84,9.0,"CDLDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
LBBL,2024-12-29,485.0,485.0,473.7,473.7,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
LBBLD89,2024-12-12,1255.0,1255.0,1255.0,1255.0,"CDLDOJI,CDLSHORTLINE"
LBBLPO,2024-10-27,261.0,261.0,261.0,261.0,"CDLDOJI,CDLSHORTLINE"
LBLD86,2024-12-23,1135.0,1135.0,1135.0,1135.0,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
LEC,2024-12-29,206.0,206.0,199.0,199.1,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
LEMF,2024-06-09,9.6,9.76,9.47,9.47,"CDLDOJI,CDLDOJISTAR,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
LICN,2024-12-29,1136.0,1160.0,1130.0,1145.0,"CDLABANDONEDBABY,CDLMORNINGDOJISTAR,CDLMORNINGSTAR"
LIFEINSU,2024-12-29,12493.74,12519.35,12408.94,12444.33,
LLBS,2024-12-29,1090.1,1171.0,1090.0,1124.0,CDLBELTHOLD
LSL,2024-12-29,239.2,244.8,238.0,239.0,"CDLDOJI,CDLGRAVESTONEDOJI,CDLHIGHWAVE,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP"
LUK,2024-12-29,9.31,9.49,9.31,9.41,"CDLDOJI,CDLSHORTLINE"
LVF2,2024-12-29,9.0,9.06,9.0,9.06,"CDLDOJI,CDLGAPSIDESIDEWHITE,CDLSHORTLINE"
MAKAR,2024-12-29,607.0,619.0,597.0,602.0,
MANDU,2024-12-29,892.0,910.0,882.0,882.1,CDLSHOOTINGSTAR
MANUFACTURE,2024-12-29,6822.26,6859.85,6756.19,6762.54,
MATRI,2024-12-29,1255.0,1320.0,1247.1,1280.0,
MBJC,2024-12-29,334.0,335.0,328.2,330.0,"CDLDOJI,CDLSHORTLINE"
MBL,2024-12-29,238.3,245.0,236.0,238.1,"CDLDOJI,CDLGRAVESTONEDOJI,CDLHIGHWAVE,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP"
MBLD2085,2024-11-14,1111.8,1170.0,1111.8,1170.0,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
MBLPO,2024-05-21,113.0,113.0,113.0,113.0,"CDLDOJI,CDLSHORTLINE"
MCHL,2024-12-29,620.0,628.0,600.0,606.0,
MDB,2024-12-29,700.0,714.0,691.0,695.8,CDLSPINNINGTOP
MDBPO,2024-11-27,379.0,379.0,379.0,379.0,"CDLDOJI,CDLSHORTLINE"
MEHL,2024-12-29,463.6,475.0,458.2,460.0,CDLSHOOTINGSTAR
MEL,2024-12-29,310.7,316.0,307.2,315.8,CDLSHORTLINE
MEN,2024-12-29,625.0,625.0,605.0,608.0,"CDLBELTHOLD,CDLLONGLINE"
MERO,2024-12-29,718.0,764.6,718.0,733.0,CDLBELTHOLD
MFIL,2024-12-29,670.0,670.0,650.0,650.0,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
MFILPO,2024-06-23,267.6,267.6,267.6,267.6,"CDLDOJI,CDLDOJISTAR,CDLSHORTLINE"
MFLD85,2024-12-29,1100.0,1102.0,1085.0,1085.0,"CDLCLOSINGMARUBOZU,CDLLONGLINE"
MHCL,2024-12-29,532.0,539.0,516.2,527.3,CDLSPINNINGTOP
MHL,2024-12-29,872.0,875.0,832.1,850.0,
MHNL,2024-12-29,260.0,267.0,258.8,260.0,"CDLDOJI,CDLDOJISTAR,CDLGRAVESTONEDOJI,CDLHIGHWAVE,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSPINNINGTOP"
MICROFINANCE,2024-12-29,4921.9,5033.01,4909.42,4977.97,"CDLABANDONEDBABY,CDLMORNINGDOJISTAR,CDLMORNINGSTAR"
MKCL,2024-12-29,1480.0,1506.0,1480.0,1485.0,CDLINVERTEDHAMMER
MKHC,2024-12-29,497.9,519.1,497.9,508.8,
MKHL,2024-12-29,630.0,632.1,618.0,625.0,"CDLHANGINGMAN,CDLSHORTLINE"
MKJC,2024-12-29,508.0,529.3,507.1,529.3,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
MKLB,2024-07-07,1205.0,1205.0,1142.0,1169.0,CDLBELTHOLD
MLBBL,2024-12-29,1535.0,1610.0,1535.0,1584.9,CDLBELTHOLD
MLBL,2024-12-29,396.0,399.0,387.0,389.0,CDLSHORTLINE
MLBLPO,2024-09-16,155.0,155.0,155.0,155.0,"CDLDOJI,CDLSHORTLINE"
MLBS,2024-12-29,2035.0,2172.0,2035.0,2160.0,CDLBELTHOLD
MLBSL,2024-12-29,2221.0,2461.6,2221.0,2461.6,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
MMF1,2024-12-29,8.6,8.9,8.6,8.73,"CDLDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE"
MMFDB,2024-03-12,561.0,590.4,561.0,580.0,
MMFDBP,2024-03-12,278.0,278.0,278.0,278.0,"CDLDOJI,CDLSHORTLINE"
MMKJL,2024-12-29,683.0,695.0,672.2,679.0,"CDLDOJI,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSPINNINGTOP"
MNBBL,2024-12-29,371.0,378.4,371.0,375.0,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
MNBBLP,2024-12-29,221.0,221.0,221.0,221.0,"CDLDOJI,CDLSHORTLINE"
MPFL,2024-12-29,685.0,695.0,649.8,651.0,
MPFLPO,2024-03-14,202.0,202.0,202.0,202.0,"CDLDOJI,CDLSHORTLINE"
MSHL,2024-12-29,970.0,970.0,937.0,947.9,
MSLB,2024-12-29,1490.0,1590.0,1490.0,1564.0,CDLBELTHOLD
MUTUAL,2024-12-29,20.31,20.36,20.17,20.34,"CDLDOJI,CDLHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE,CDLTAKURI"
NABBC,2024-12-29,1133.4,1155.5,1040.9,1040.9,CDLCLOSINGMARUBOZU
NABIL,2024-12-29,504.1,508.9,499.0,502.7,"CDLDOJI,CDLDOJISTAR,CDLHIGHWAVE,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN,CDLSPINNINGTOP"
NABILD87,2024-12-29,1070.0,1070.0,1070.0,1070.0,"CDLDOJI,CDLSHORTLINE"
NABILP,2024-10-27,301.1,301.1,301.1,301.1,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
NADDF,2024-12-17,10.41,10.41,10.41,10.41,"CDLDOJI,CDLSHORTLINE"
NADEP,2024-12-29,942.0,959.0,926.1,947.0,"CDLHIGHWAVE,CDLSPINNINGTOP"
NBBD2085,2024-11-20,1195.0,1195.0,1195.0,1199.9,CDLSHORTLINE
NBF2,2024-12-29,9.69,9.69,9.5,9.68,"CDLDOJI,CDLHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE,CDLTAKURI"
NBF3,2024-12-29,9.5,9.65,9.0,9.4,"CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLMATCHINGLOW,CDLRICKSHAWMAN,CDLSHORTLINE,CDLSPINNINGTOP,CDLTAKURI"
NBL,2024-12-29,273.0,275.8,269.3,269.9,
NBLD82,2024-11-24,1096.6,1174.0,1096.6,1172.0,"CDLBELTHOLD,CDLLONGLINE"
NBLD85,2024-12-29,1049.0,1050.0,1049.0,1050.0,"CDLDOJI,CDLSHORTLINE"
NBLD87,2024-12-29,1064.0,1064.0,1064.0,1064.0,"CDLDOJI,CDLSHORTLINE"
NCCD86,2024-12-29,1156.0,1156.0,1156.0,1156.0,"CDLDOJI,CDLSHORTLINE"
NEPSE,2024-12-29,2631.98,2641.17,2601.84,2609.58,
NESDO,2024-12-29,2259.0,2344.0,2210.0,2276.1,
NFCF,2024-12-12,11.43,11.43,11.43,11.43,"CDLDOJI,CDLSHORTLINE"
NFS,2024-12-29,1024.1,1040.0,998.0,1002.0,
NFSPO,2024-08-25,163.0,163.0,163.0,163.0,"CDLDOJI,CDLDOJISTAR,CDLSHORTLINE"
NGPL,2024-12-29,262.0,263.0,256.1,256.1,CDLSHORTLINE
NHDL,2024-12-29,720.0,720.0,702.4,710.0,CDLSHORTLINE
NHPC,2024-12-29,218.0,219.0,213.8,214.0,CDLSHORTLINE
NIBD2082,2024-12-24,1144.0,1150.9,1144.0,1151.0,CDLSHORTLINE
NIBD84,2024-12-29,1033.0,1043.2,1033.0,1043.1,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
NIBLGF,2024-12-29,8.7,8.87,8.66,8.87,"CDLDOJI,CDLSHORTLINE"
NIBLPF,2024-01-08,9.47,9.48,9.32,9.32,"CDLDOJI,CDLSHORTLINE"
NIBLSF,2024-11-25,11.21,11.21,11.21,11.21,"CDLDOJI,CDLSHORTLINE"
NIBSF2,2024-12-29,8.45,8.6,8.44,8.5,"CDLDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLSHORTLINE,CDLTRISTAR"
NICA,2024-12-29,400.0,404.7,391.0,391.0,CDLCLOSINGMARUBOZU
NICAD 85/86,2024-05-08,1014.0,1015.2,1014.0,1015.1,CDLSHORTLINE
NICAD8182,2024-12-29,1056.3,1056.3,1056.3,1056.3,"CDLDOJI,CDLSHORTLINE"
NICAD8283,2024-12-24,1062.1,1083.3,1062.1,1083.3,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
NICAP,2024-06-18,331.3,331.3,331.3,331.3,"CDLDOJI,CDLSHORTLINE"
NICBF,2024-12-29,9.0,9.22,9.0,9.22,"CDLDOJI,CDLSHORTLINE"
NICD83/84,2024-12-29,1135.0,1135.0,1135.0,1135.0,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
NICD88,2024-12-29,1062.0,1062.8,1062.0,1062.0,"CDLDOJI,CDLGRAVESTONEDOJI,CDLINVERTEDHAMMER,CDLLONGLEGGEDDOJI,CDLTRISTAR"
NICFC,2024-12-29,8.99,9.18,8.99,9.11,"CDLDOJI,CDLSHORTLINE"
NICGF,2024-12-29,10.33,10.33,10.33,10.33,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
NICGF2,2024-12-29,8.62,8.85,8.62,8.85,"CDLDOJI,CDLSHORTLINE,CDLTRISTAR"
NICL,2024-12-29,973.7,973.7,955.0,959.0,CDLBELTHOLD
NICLBSL,2024-12-29,663.0,683.0,660.0,660.0,CDLINVERTEDHAMMER
NICSF,2024-12-29,9.2,9.38,9.2,9.34,"CDLDOJI,CDLSHORTLINE"
NIFRA,2024-12-29,251.0,252.0,246.5,246.8,"CDLCLOSINGMARUBOZU,CDLLONGLINE"
NIL,2024-12-29,937.0,937.0,924.1,926.0,CDLBELTHOLD
NILPO,2024-06-23,436.0,436.0,436.0,436.0,"CDLDOJI,CDLDOJISTAR,CDLSHORTLINE"
NIMB,2024-12-29,230.2,230.2,221.0,221.0,"CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLLONGLINE,CDLMARUBOZU"
NLBBL,2024-03-12,565.0,595.0,555.0,595.0,CDLCLOSINGMARUBOZU
