buy_signal,sell_signal,score,rank
0,0,0,173.5
0,0,0,167.5
0,0,0,171.5
0,0,0,158.5
0,0,0,182.0
0,0,0,189.5
0,0,0,166.5
0,0,0,154.0
0,0,0,153.0
0,0,0,158.5
0,0,0,163.5
0,0,0,152.0
0,0,0,160.0
0,0,0,166.5
0,0,0,146.0
0,0,0,140.0
0,0,0,133.0
0,1,-1,277.5
0,1,-1,290.0
0,1,-1,283.5
0,0,0,129.5
0,1,-1,258.5
0,1,-1,268.0
0,1,-1,272.5
0,1,-1,283.0
0,1,-1,283.0
0,1,-1,269.5
0,1,-1,269.0
0,1,-1,282.5
0,1,-1,275.0
0,1,-1,261.0
0,1,-1,263.5
0,1,-1,286.5
0,0,0,132.0
0,1,-1,275.0
0,1,-1,245.5
0,0,0,123.0
0,0,0,123.5
0,0,0,124.0
0,0,0,132.5
0,0,0,132.5
0,0,0,135.0
0,0,0,134.0
0,0,0,135.5
0,0,0,144.5
0,0,0,144.0
0,0,0,148.0
0,0,0,152.0
0,0,0,153.0
0,0,0,150.0
0,0,0,150.5
0,0,0,146.5
0,0,0,147.0
0,0,0,145.5
0,0,0,146.0
0,0,0,140.5
0,0,0,146.0
0,0,0,149.0
0,0,0,141.5
0,0,0,134.5
0,0,0,114.0
0,0,0,106.5
0,1,-2,324.5
0,1,-2,330.5
0,0,0,118.0
0,0,0,123.0
0,0,0,126.5
0,0,0,121.0
0,0,0,114.0
0,0,0,103.0
0,1,-1,255.5
0,1,-1,264.5
0,1,-1,255.0
0,1,-1,263.0
0,1,-1,284.5
0,1,-1,235.5
0,1,-1,231.5
0,1,-1,261.5
0,0,0,117.5
0,0,0,119.0
0,0,0,141.0
0,0,0,146.5
0,0,0,144.0
0,0,0,117.0
0,0,0,142.5
0,0,0,153.5
0,0,0,151.0
0,0,0,153.0
0,0,0,159.0
0,0,0,149.5
0,0,0,153.0
0,0,0,151.0
0,0,0,156.0
0,0,0,151.0
0,1,-1,267.0
0,0,0,164.5
0,0,0,167.5
0,0,0,162.0
0,0,0,196.0
0,0,0,188.5
0,0,0,175.5
0,0,0,162.0
0,0,0,165.5
0,0,0,205.5
0,0,0,238.5
0,0,0,218.0
0,0,0,219.5
0,0,0,219.0
0,0,0,200.0
0,0,0,179.5
0,0,0,157.5
0,0,0,168.5
0,0,0,171.0
0,0,0,183.5
0,0,0,157.0
0,0,0,145.5
0,0,0,156.5
0,0,0,162.5
0,0,0,162.0
0,0,0,163.5
0,0,0,171.5
0,0,0,160.0
0,0,0,162.5
0,0,0,156.5
0,0,0,138.5
0,0,0,120.0
0,0,0,108.5
0,0,0,128.5
0,0,0,134.5
0,0,0,129.5
