symbol,date,open,high,low,close,Candles_Present,Signal
DHPL,2024-12-29,303.0,310.0,300.0,300.3,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
DLBS,2024-12-29,1670.0,1836.0,1670.0,1760.0,['CDLBELTHOLD'],Neutral
DOLTI,2024-12-29,669.0,690.0,669.0,685.0,['CDLSHORTLINE'],Neutral
DORDI,2024-12-29,530.1,540.0,514.0,514.0,['CDLSHORTLINE'],Neutral
EBL,2024-12-29,585.0,589.9,580.0,583.0,"['CDLDOJI', 'CDLHANGINGMAN', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHOOTINGSTAR', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bearish
EBLD86,2024-12-29,1043.0,1043.0,1043.0,1043.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
EDBL,2024-12-29,617.1,617.1,561.0,563.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
EHPL,2024-12-29,758.0,768.0,728.3,754.9,"['CDLDOJI', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLSPINNINGTOP']",Neutral
ENL,2024-12-29,1241.7,1275.0,1235.0,1257.0,[],Neutral
FINANCE,2024-12-29,3052.63,3052.63,2932.35,2935.78,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
FLOAT,2024-12-29,178.32,178.84,176.3,176.7,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Neutral
FMDBL,2024-12-29,748.2,765.0,748.0,760.0,['CDLSHORTLINE'],Neutral
FMDBLP,2024-07-08,370.0,370.0,370.0,370.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
FOWAD,2024-12-29,1253.5,1300.0,1250.0,1274.0,[],Neutral
GBBD85,2024-12-29,1051.1,1051.2,1050.0,1050.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GBBL,2024-12-29,402.0,404.9,395.1,396.5,['CDLSHORTLINE'],Neutral
GBBLPO,2024-11-26,205.0,205.0,205.0,205.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GBD80/81,2024-04-09,1040.0,1040.0,1040.0,1040.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GBILD86/87,2024-12-29,1059.0,1059.0,1045.0,1045.0,['CDLSHORTLINE'],Neutral
GBIME,2024-12-29,233.1,237.5,229.0,229.5,['CDLINVERTEDHAMMER'],Bullish
GBIMEP,2024-12-12,100.0,100.0,100.0,100.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GBLBS,2024-12-29,760.0,795.0,760.0,766.1,['CDLBELTHOLD'],Neutral
GCIL,2024-12-29,501.0,505.0,492.0,492.1,['CDLCLOSINGMARUBOZU'],Neutral
GFCL,2024-12-29,800.9,825.0,775.1,777.1,[],Neutral
GHL,2024-12-29,203.2,207.2,203.2,204.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
GIBF1,2024-12-29,9.88,9.91,9.88,9.91,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GILB,2024-12-29,1169.0,1210.0,1165.0,1178.0,[],Neutral
GLBSL,2024-12-29,2549.0,2670.0,2455.0,2460.1,[],Neutral
GLH,2024-12-29,240.1,243.3,235.2,235.2,['CDLSHORTLINE'],Neutral
GMFBS,2024-12-29,1790.0,1900.0,1786.1,1824.0,[],Neutral
GMFIL,2024-12-29,565.1,567.0,541.3,546.0,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
GRDBL,2024-12-29,945.0,980.0,875.0,880.0,['CDLCLOSINGMARUBOZU'],Neutral
GRDBLP,2024-07-08,277.0,277.0,277.0,277.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Neutral
GUFL,2024-12-29,670.4,670.4,653.8,657.0,['CDLSHORTLINE'],Neutral
GUFLPO,2024-12-19,385.0,385.0,385.0,385.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
GVL,2024-12-29,510.0,520.0,497.9,500.0,['CDLSHORTLINE'],Neutral
GWFD83,2024-12-29,1329.0,1330.0,1325.0,1325.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
H8020,2024-12-29,10.0,10.03,10.0,10.01,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
HATHY,2024-12-29,1344.0,1370.0,1326.0,1355.0,['CDLSPINNINGTOP'],Neutral
HBL,2024-12-29,242.0,245.0,237.0,239.1,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
HBLD83,2024-11-27,1075.5,1075.5,1075.5,1075.5,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
HBLPO,2024-08-12,125.0,125.0,125.0,125.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Neutral
HDHPC,2024-12-29,199.0,200.0,196.0,196.4,['CDLSHORTLINE'],Neutral
HDL,2024-12-29,1367.0,1384.0,1365.0,1366.0,[],Neutral
HEI,2024-12-29,615.0,620.0,610.0,619.5,['CDLCLOSINGMARUBOZU'],Neutral
HEIP,2024-12-29,466.5,466.5,440.0,457.0,['CDLBELTHOLD'],Neutral
HHL,2024-12-29,549.4,549.4,500.8,507.1,['CDLBELTHOLD'],Neutral
HIDCL,2024-12-29,238.0,240.0,233.3,234.9,['CDLSHORTLINE'],Neutral
HIDCLP,2024-12-29,170.8,170.8,165.5,169.5,"['CDLDOJI', 'CDLDRAGONFLYDOJI', 'CDLHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE', 'CDLTAKURI']",Bullish
HLBSL,2024-12-29,948.0,1003.0,948.0,960.0,['CDLBELTHOLD'],Neutral
HLI,2024-12-29,447.0,451.9,442.3,446.0,"['CDLDOJI', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Neutral
HOTELS,2024-12-29,6427.15,6461.32,6356.31,6387.9,[],Neutral
HPPL,2024-12-29,396.0,403.0,388.0,388.1,['CDLSHORTLINE'],Neutral
HRL,2024-12-29,801.0,805.0,793.0,796.0,['CDLSHORTLINE'],Neutral
HURJA,2024-12-29,226.5,230.9,224.0,224.4,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
HYDROPOWER,2024-12-29,3490.88,3493.21,3420.18,3434.32,['CDLBELTHOLD'],Neutral
ICFC,2024-12-29,651.7,670.9,651.7,652.1,"['CDLDOJI', 'CDLDOJISTAR', 'CDLGRAVESTONEDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI']",Bullish
ICFCD83,2024-12-29,1325.0,1325.0,1325.0,1325.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
ICFCPO,2024-12-26,369.0,369.0,369.0,369.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Neutral
IGI,2024-12-29,572.0,582.0,570.0,571.1,"['CDLDOJI', 'CDLGRAVESTONEDOJI', 'CDLLONGLEGGEDDOJI', 'CDLSHOOTINGSTAR', 'CDLSPINNINGTOP', 'CDLTRISTAR']",Bearish
IGIPO,2024-12-22,310.0,310.0,310.0,310.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Neutral
IHL,2024-12-29,662.0,668.8,647.0,650.0,[],Neutral
ILBS,2024-12-29,959.9,1005.0,942.0,965.0,"['CDLHIGHWAVE', 'CDLSPINNINGTOP']",Neutral
ILI,2024-12-29,470.0,472.0,465.0,470.5,"['CDLDOJI', 'CDLDRAGONFLYDOJI', 'CDLHAMMER', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP', 'CDLTAKURI']",Bullish
INVESTMENT,2024-12-29,99.0,99.63,98.38,98.75,"['CDLDOJI', 'CDLHAMMER', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Bullish
JALPA,2024-07-10,1465.0,1480.0,1430.0,1442.1,[],Neutral
JBBL,2024-12-29,361.1,366.9,356.0,359.9,"['CDLDOJI', 'CDLDOJISTAR', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Neutral
JBBLPO,2024-12-03,204.0,204.0,204.0,204.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
JBLB,2024-12-29,1525.0,1575.0,1525.0,1571.0,"['CDLBELTHOLD', 'CDLLONGLINE']",Neutral
JFL,2024-12-29,907.5,907.5,833.4,833.4,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
JFLPO,2024-09-10,349.0,349.0,349.0,349.0,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Neutral
JOSHI,2024-12-29,451.1,451.1,414.3,420.0,"['CDLBELTHOLD', 'CDLLONGLINE']",Neutral
JSLBB,2024-12-29,1610.1,1730.0,1609.0,1661.9,['CDLBELTHOLD'],Neutral
JSLBBP,2024-04-02,546.0,546.0,546.0,546.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
KBL,2024-12-29,224.0,225.4,218.7,219.3,['CDLSHORTLINE'],Neutral
KBLD86,2024-12-24,1136.1,1136.1,1136.1,1136.1,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
KBLD90,2024-12-24,1141.0,1141.0,1141.0,1141.0,"['CDLDOJI', 'CDLSHORTLINE']",Neutral
KBLPO,2024-12-19,100.0,100.0,100.0,100.0,"['CDLDOJI', 'CDLSHORTLINE', 'CDLTRISTAR']",Neutral
KBSH,2024-12-29,2600.0,2600.0,2450.0,2537.0,['CDLBELTHOLD'],Neutral
KDBY,2024-12-29,9.05,9.55,9.05,9.55,"['CDLDOJI', 'CDLDOJISTAR', 'CDLSHORTLINE']",Neutral
KDL,2024-12-29,1135.0,1148.0,1119.9,1119.9,[],Neutral
KEF,2024-12-29,8.76,8.98,8.76,8.85,"['CDLDOJI', 'CDLINVERTEDHAMMER', 'CDLLONGLEGGEDDOJI', 'CDLSHORTLINE']",Bullish
KKHC,2024-12-29,382.0,383.0,366.0,367.9,"['CDLBELTHOLD', 'CDLCLOSINGMARUBOZU', 'CDLLONGLINE', 'CDLMARUBOZU']",Neutral
KLBSL,2024-07-10,1051.5,1113.1,1051.5,1070.0,['CDLBELTHOLD'],Neutral
KMCDB,2024-12-29,1080.2,1130.0,1080.2,1107.0,['CDLBELTHOLD'],Neutral
KPCL,2024-12-29,524.9,530.0,521.0,524.9,"['CDLDOJI', 'CDLHIGHWAVE', 'CDLLONGLEGGEDDOJI', 'CDLRICKSHAWMAN', 'CDLSHORTLINE', 'CDLSPINNINGTOP']",Neutral
KRBL,2024-12-24,792.0,834.0,780.0,810.0,[],Neutral
